日期(年/月),單位,再生能源發電量合計,慣常水力,地熱,太陽光電,風力_小計,風力_陸域,風力_離岸,生質能_小計,生質能_固態,生質能_氣態,廢棄物
200401,千度,461168.043626,175176.192,0,45,3008.571,3008.571,0,30705.303178,24565.743178,6139.56,252232.977448
200402,千度,553952.755008,295443.414,0,46,2115.363,2115.363,0,32368.583437,26718.008437,5650.575,223979.394571
200403,千度,598109.950431,318648.257,0,46,2451.646,2451.646,0,28331.765445,22067.904445,6263.861,248632.281986
200404,千度,518227.721813,287594.818,0,47,1264.6,1264.6,0,29545.149307,23454.477307,6090.672,199776.154506
200405,千度,577713.625325,326301.325,0,47,868.636,868.636,0,29067.20436,23303.59436,5763.61,221429.459965
200406,千度,611456.047557,321615.425,0,47,1309.914,1309.914,0,28851.034238,22851.012238,6000.022,259632.674319
200407,千度,615237.715663,302547.738,0,47,629.355,629.355,0,28690.305269,22910.265269,5780.04,283323.317394
200408,千度,609725.992201,300599.942,0,47,790.886,790.886,0,26571.576533,20985.578533,5585.998,281716.587668
200409,千度,591324.334613,286033.79,0,49,830.843,830.843,0,27394.216184,22121.536184,5272.68,277016.485429
200410,千度,498735.530288,221916.324,0,52,4113.674,4113.674,0,28770.0385,23364.2175,5405.821,243883.493788
200411,千度,454312.255348,183364.784,0,54,2981.343,2981.343,0,27028.042541,21626.842541,5401.2,240884.085807
200412,千度,495023.840597,190627.172,0,57,4887.98,4887.98,0,31200.468343,25112.149343,6088.319,268251.220254
200501,千度,494318.967094,186435.879,0,60,5168.283,5168.283,0,32737.835852,27301.565852,5436.27,269916.969242
200502,千度,512961.291738,236004.385,0,68,3869.487,3869.487,0,30183.466541,25443.836541,4739.63,242835.953197
200503,千度,757503.75708,457365.347,0,71,3570.914,3570.914,0,31671.520423,26104.840423,5566.68,264824.975657
200504,千度,651535.652894,392454.047,0,74,3254.841,3254.841,0,28838.329232,23810.350232,5027.979,226914.435662
200505,千度,603102.446621,365667.16,0,74,3967.358,3967.358,0,22621.179356,17358.259356,5262.92,210772.749265
200506,千度,753000.026364,450256.493,0,75,5498.623,5498.623,0,25522.006544,20286.646544,5235.36,271647.90382
200507,千度,757784.173486,443485.803,0,81,2509.659,2509.659,0,26750.452887,21674.592887,5075.86,284957.258599
200508,千度,788161.249309,475718.792,0,82,3388.196,3388.196,0,21128.591244,15898.751244,5229.84,287843.670065
200509,千度,687440.015168,383163.489,0,86,6647.533,6647.533,0,22722.325193,18017.419193,4704.906,274820.667975
200510,千度,607706.2898,326723.881,0,89,20423.865,20423.865,0,24796.110302,20023.240302,4772.87,235673.433498
200511,千度,486446.545951,204609.964,0,96,12069.953,12069.953,0,26124.003188,21061.323188,5062.68,243546.625763
200512,千度,440984.541723,149488.356,0,104,20931.714,20931.714,0,30382.117022,25394.777022,4987.34,240078.354701
200601,千度,560125.221434,220043.018,0,106,23000.795,23000.795,0,28229.913882,23289.113882,4940.8,288745.494552
200602,千度,511702.438858,234439.159,0,107,20475.448,20475.448,0,29648.321198,25324.001198,4324.32,227032.51066
200603,千度,582268.496337,292449.046,0,111,13650.348,13650.348,0,27605.089103,23102.299103,4502.79,248453.013234
200604,千度,644575.773389,390430.23,0,111,12910.691,12910.691,0,25924.40224,21927.31224,3997.09,215199.450149
200605,千度,744975.219943,454428.211,0,114,19415.649,19415.649,0,27170.166968,22777.866968,4392.3,243847.192975
200606,千度,698727.275314,388204.343,0,121,17480.158,17480.158,0,25806.884903,20529.836903,5277.048,267114.889411
200607,千度,802156.547809,479157.529,0,125,16568.948,16568.948,0,26275.057596,21669.237596,4605.82,280030.013213
200608,千度,768160.379028,450714.522,0,126,9142.119,9142.119,0,25575.686281,21000.206281,4575.48,282602.051747
200609,千度,723222.497292,395081.947,0,128,26449.294,26449.294,0,24157.834078,19483.616705,4674.217373,277405.422214
200610,千度,595250.770379,294317.977,0,132,34982.831,34982.831,0,26642.210244,22300.421449,4341.788795,239175.752135
200611,千度,557954.559625,271338.841,0,135,33818.617,33818.617,0,26213.851639,21702.829564,4511.022075,226448.249986
200612,千度,554729.234765,217745.944,0,141,48179.834,48179.834,0,28042.806009,23742.728827,4300.077182,260619.650756
200701,千度,642658.662389,251243.717,0,143,73531.037,73531.037,0,25504.46309,20166.016026,5338.447064,292236.445299
